"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","3420-Heritage-Oaks-Dr,-Hilliard,-OH-43026","3420 Heritage Oaks Dr, Hilliard, OH 43026","3420 Heritage Oaks Dr",NA,"Hilliard","OH","43026","Franklin",40.0205,-83.1724,"Single Family",NA,4,3.5,3690,NA,NA,NA,"Inactive",549900,"2021-11-25T14:05:55.115Z","2022-08-09T19:38:27.652Z",258
"1","6126-Brienne-Ct,-Hilliard,-OH-43026","6126 Brienne Ct, Hilliard, OH 43026","6126 Brienne Ct",NA,"Hilliard","OH","43026","Franklin",40.0456,-83.1824,"Single Family",NA,4,4.5,3555,NA,NA,NA,"Inactive",465000,"2021-12-06T13:51:09.817Z","2022-08-09T19:38:27.652Z",247
"1","4841-Stoneybrook-Blvd,-Unit-30D,-Hilliard,-OH-43026","4841 Stoneybrook Blvd, Unit 30D, Hilliard, OH 43026","4841 Stoneybrook Blvd","Unit 30D","Hilliard","OH","43026","Franklin",40.0171,-83.1415,"Condo",NA,2,1.5,832,NA,NA,NA,"Inactive",149900,"2022-01-19T09:46:28.175Z","2022-08-09T19:37:05.603Z",203
"1","4470-Braithway-St,-Hilliard,-OH-43026","4470 Braithway St, Hilliard, OH 43026","4470 Braithway St",NA,"Hilliard","OH","43026","Franklin",40.0426,-83.1656,"Single Family",NA,4,2.5,3258,NA,NA,NA,"Inactive",474900,"2022-01-18T12:58:47.869Z","2022-08-09T19:32:20.728Z",204
"1","2297-Shelby-Ln,-Hilliard,-OH-43026","2297 Shelby Ln, Hilliard, OH 43026","2297 Shelby Ln",NA,"Hilliard","OH","43026","Franklin",39.9972,-83.1441,"Single Family",NA,3,2,1272,NA,NA,NA,"Inactive",309999,"2021-07-11T08:48:15.897Z","2022-08-09T19:28:08.295Z",395
"1","4814-Augustus-Ct,-Hilliard,-OH-43026","4814 Augustus Ct, Hilliard, OH 43026","4814 Augustus Ct",NA,"Hilliard","OH","43026","Franklin",40.0497,-83.1642,"Single Family",NA,4,2,1908,NA,NA,NA,"Inactive",250000,"2021-11-02T13:28:23.967Z","2022-08-09T19:28:08.295Z",281
"1","4410-Cedarstone-Dr,-Hilliard,-OH-43026","4410 Cedarstone Dr, Hilliard, OH 43026","4410 Cedarstone Dr",NA,"Hilliard","OH","43026","Franklin",40.0421,-83.1519,"Single Family",NA,4,2.5,2322,NA,NA,NA,"Inactive",349900,"2022-01-14T12:35:11.023Z","2022-08-09T19:26:43.000Z",208
"1","5030-Wyandot-Pl,-Hilliard,-OH-43026","5030 Wyandot Pl, Hilliard, OH 43026","5030 Wyandot Pl",NA,"Hilliard","OH","43026","Franklin",40.0248,-83.1496,"Single Family",NA,2,1,1200,NA,NA,NA,"Inactive",200000,"2022-01-10T10:16:55.496Z","2022-08-09T19:25:16.298Z",212
"1","3960-Darby-Park-Rd,-Unit-3-3960,-Hilliard,-OH-43026","3960 Darby Park Rd, Unit 3-3960, Hilliard, OH 43026","3960 Darby Park Rd","Unit 3-3960","Hilliard","OH","43026","Franklin",40.0318,-83.1737,"Condo",NA,3,2.5,1587,NA,NA,NA,"Inactive",235000,"2021-11-25T10:28:31.424Z","2022-08-09T19:25:16.298Z",258
"1","3484-Woodland-Dr,-Hilliard,-OH-43026","3484 Woodland Dr, Hilliard, OH 43026","3484 Woodland Dr",NA,"Hilliard","OH","43026","Franklin",40.0193,-83.1998,"Single Family",NA,3,2.5,2080,NA,NA,NA,"Inactive",449900,"2021-11-27T14:16:30.681Z","2022-08-09T19:23:42.137Z",256
